1570783267.572309|SWI|PID MISMATCH FIX|
1570783485.460273|LMDrag|dragged after three finger click block|
1570783496.214564|LMDrag|dragged after three finger click block|
1570783529.583628|LMDrag|dragged after three finger click block|
1570783537.872626|LMDrag|dragged after three finger click block|
1570783548.391143|LMDrag|dragged after three finger click block|
1570783559.856953|LMDrag|dragged after three finger click block|
1570783730.126980|LMDrag|dragged after three finger click block|
1570783792.361007|LMDrag|dragged after three finger click block|
1570783840.924603|LMDrag|dragged after three finger click block|
1570783934.016254|c00|14|
1570784222.516378|ASL|block21|
1570784222.527425|ASL|block21|
1570784222.537006|ASL|block21|
1570784222.550470|ASL|block21|
1570784222.559982|ASL|block21|
1570784222.572269|ASL|block21|
1570784222.583816|ASL|block21|
1570784222.595320|ASL|block21|
1570784222.604504|ASL|block21|
1570784222.616607|ASL|block21|
1570784222.627416|ASL|block21|
1570784222.638167|ASL|block21|
1570784222.651535|ASL|block21|
1570784222.660903|ASL|block21|
1570784222.673703|ASL|block21|
1570784222.683105|ASL|block21|
1570784222.696762|ASL|block21|
1570784222.707838|ASL|block21|
1570784222.719048|ASL|block21|
1570784222.729557|ASL|block21|
1570784222.741305|ASL|block21|
1570784222.751131|ASL|block21|
1570784222.761993|ASL|block21|
1570784222.773710|ASL|block21|
1570784222.784957|ASL|block21|
1570784222.797523|ASL|block21|
1570784222.808930|ASL|block21|
1570784222.818898|ASL|block21|
1570784222.829936|ASL|block21|
1570784222.843113|ASL|block21|
1570784222.851747|ASL|block21|
1570784222.931418|ASL|block31|
1570784222.933843|ASL|block21|
1570784222.934939|ASL|block21|
1570784222.936081|ASL|block21|
1570784222.937094|ASL|block21|
1570784222.938155|ASL|block21|
1570784222.939148|ASL|block21|
1570784222.941762|ASL|block21|
1570784222.955021|ASL|block21|
1570784222.965158|ASL|block21|
1570784222.977948|ASL|block21|
1570784222.987207|ASL|block21|
1570784222.999898|ASL|block21|
1570784223.009607|ASL|block21|
1570784223.021483|ASL|block21|
1570784223.032524|ASL|block21|
1570784223.043490|ASL|block21|
1570784223.054754|ASL|block21|
1570784223.065706|ASL|block21|
1570784223.079010|ASL|block21|
1570784223.088111|ASL|block21|
1570784223.101657|ASL|block21|
1570784223.113621|ASL|block21|
1570784223.122840|ASL|block21|
1570784223.188273|ASL|block21|
1570784223.189468|ASL|block21|
1570784223.190588|ASL|block21|
